qoss qsim qoss1 qsim1 qoss2 qsim2
31.4 49.61619 31.4 44.00649 31.4 19.32743
27.9 30.134 27.9 21.33228 27.9 14.85449
37.2 55.28688 37.2 57.18107 37.2 27.18188
32.4 55.90108 32.4 49.58488 32.4 27.68363
28.6 34.8363 28.6 26.65086 28.6 20.62873
22.9 19.13655 22.9 17.03181 22.9 15.38546
19 12.09435 19 14.51029 19 12.21174
16.5 9.121568 16.5 13.10508 16.5 10.11022
14.4 8.473977 14.4 12.95415 14.4 8.636343
12.7 7.666683 12.7 11.69717 12.7 7.543946
11.4 7.083946 11.4 10.84648 11.4 6.703987
10.5 6.68283 10.5 10.16419 10.5 6.038569
8.94 6.36997 8.94 9.546065 8.94 5.500384
8.56 6.095948 8.56 8.968885 8.56 5.057044
7.75 7.953069 7.75 11.2914 7.75 5.088384
6.59 6.941858 6.59 8.875987 6.59 4.711836
6.07 5.976808 6.07 7.801968 6.07 4.386963
6.33 6.622913 6.33 8.892437 6.33 4.138451
6.38 8.423921 6.38 10.86578 6.38 4.577024
6.37 12.74509 6.37 15.70324 6.37 7.326488
6.06 9.435821 6.06 9.42494 6.06 5.926393
6.84 7.572374 6.84 8.352152 6.84 5.358518
6.11 6.860294 6.11 8.086807 6.11 4.902804
5.71 5.6925 5.71 6.681672 5.71 4.52132
5.32 4.82948 5.32 5.867893 5.32 4.19741
5.25 5.156487 5.25 6.528517 5.25 3.92587
5.21 4.633897 5.21 5.520946 5.21 3.689812
4.89 4.343826 4.89 5.224852 4.89 3.483371
4.58 3.970523 4.58 4.708031 4.58 3.299506
4.34 3.694561 4.34 4.365139 4.34 3.134304
4.53 6.108902 4.53 7.779777 4.53 3.437237
5.71 8.426475 5.71 9.859534 5.71 4.090443
5.56 7.008749 5.56 6.901796 5.56 3.808527
7.16 12.46494 7.16 14.91745 7.16 8.725029
7.34 10.69765 7.34 10.22235 7.34 6.165962
7.33 9.704984 7.33 9.749336 7.33 6.141232
